Height_m Chi2 DF P_Value
5.3000 77.05 35 5.389436e-05
5.4000 77.42 35 4.829588e-05
5.5000 77.79 35 4.329874e-05
5.6000 78.14 35 3.898112e-05
5.7000 78.48 35 3.521255e-05
5.8000 78.82 35 3.187393e-05
5.9000 79.13 35 2.900047e-05
6.0000 79.44 35 2.646409e-05
6.1000 79.73 35 2.426934e-05
6.2000 80.00 35 2.235109e-05
6.3000 80.26 35 2.063624e-05
6.4000 80.51 35 1.916540e-05
6.5000 80.74 35 1.787133e-05
6.6000 80.96 35 1.672422e-05
6.7000 81.16 35 1.572844e-05
6.8000 81.35 35 1.483849e-05
6.9000 81.53 35 1.406338e-05
7.0000 81.69 35 1.338373e-05
7.1000 81.84 35 1.277639e-05
7.2000 81.98 35 1.224601e-05
7.3000 82.11 35 1.178322e-05
7.4000 82.22 35 1.137689e-05
7.5000 82.32 35 1.101842e-05
7.6000 82.42 35 1.070592e-05
7.7000 82.50 35 1.043418e-05
7.8000 82.58 35 1.019678e-05
7.9000 82.64 35 9.988440e-06
8.0000 82.70 35 9.813319e-06
8.1000 82.75 35 9.661162e-06
8.2000 82.80 35 9.532306e-06
8.3000 82.83 35 9.419051e-06
8.4000 82.87 35 9.323536e-06
8.5000 82.90 35 9.242754e-06
8.6000 82.92 35 9.173695e-06
8.7000 82.94 35 9.113706e-06
8.8000 82.96 35 9.066970e-06
8.9000 82.97 35 9.027745e-06
9.0000 82.98 35 8.995705e-06
9.1000 82.99 35 8.969107e-06
9.2000 83.00 35 8.950909e-06
9.3000 83.01 35 8.936606e-06
9.4000 83.01 35 8.925784e-06
9.5000 83.01 35 8.918571e-06
9.6000 83.01 35 8.914255e-06
9.7000 83.01 35 8.911620e-06
9.8000 83.02 35 8.910182e-06
9.9000 83.02 35 8.909712e-06
10.0000 83.02 35 8.909712e-06
10.1000 83.02 35 8.909712e-06
10.2000 83.02 35 8.909712e-06
10.3000 83.02 35 8.909712e-06
10.4000 83.02 35 8.909712e-06
10.5000 83.02 35 8.909712e-06
10.6000 83.02 35 8.909712e-06
10.7000 83.02 35 8.909712e-06
10.8000 83.02 35 8.909712e-06
10.9000 83.02 35 8.909712e-06
11.0000 83.02 35 8.909712e-06
11.1000 83.02 35 8.909712e-06
11.2000 83.02 35 8.909712e-06
11.3000 83.02 35 8.909712e-06
11.4000 83.02 35 8.909712e-06
11.5000 83.02 35 8.909712e-06
11.6000 83.02 35 8.909712e-06
11.7000 83.02 35 8.909712e-06
11.8000 83.02 35 8.909712e-06
11.9000 83.02 35 8.909712e-06
12.0000 83.02 35 8.909712e-06
12.1000 83.02 35 8.909712e-06
12.2000 83.02 35 8.909712e-06
12.3000 83.02 35 8.909712e-06
12.4000 83.02 35 8.909712e-06
12.5000 83.02 35 8.909712e-06
12.6000 83.02 35 8.909712e-06
12.7000 83.02 35 8.909712e-06
12.8000 83.02 35 8.909712e-06
12.9000 83.02 35 8.909712e-06
13.0000 83.02 35 8.909712e-06
13.1000 83.02 35 8.909712e-06
13.2000 83.02 35 8.909712e-06
13.3000 83.02 35 8.909712e-06
13.4000 83.02 35 8.909712e-06
13.5000 83.02 35 8.909712e-06
13.6000 83.02 35 8.909712e-06
13.7000 83.02 35 8.909712e-06
13.8000 83.02 35 8.909712e-06
13.9000 83.02 35 8.909712e-06
14.0000 83.02 35 8.909712e-06
14.1000 83.02 35 8.909712e-06
14.2000 83.02 35 8.909712e-06
14.3000 83.02 35 8.909712e-06
14.4000 83.02 35 8.909712e-06
14.5000 83.02 35 8.909712e-06
14.6000 83.02 35 8.909712e-06
14.7000 83.02 35 8.909712e-06
14.8000 83.02 35 8.909712e-06
14.9000 83.02 35 8.909712e-06
15.0000 83.02 35 8.909712e-06
