Height_m Chi2 DF P_Value
5.3000 69.10 35 5.140554e-04
5.4000 69.15 35 5.065786e-04
5.5000 69.20 35 4.991867e-04
5.6000 69.26 35 4.921230e-04
5.7000 69.31 35 4.853799e-04
5.8000 69.36 35 4.788303e-04
5.9000 69.40 35 4.727149e-04
6.0000 69.45 35 4.668898e-04
6.1000 69.49 35 4.614038e-04
6.2000 69.53 35 4.562741e-04
6.3000 69.57 35 4.513672e-04
6.4000 69.61 35 4.468836e-04
6.5000 69.64 35 4.426930e-04
6.6000 69.68 35 4.387763e-04
6.7000 69.71 35 4.352059e-04
6.8000 69.73 35 4.318734e-04
6.9000 69.76 35 4.288376e-04
7.0000 69.78 35 4.260850e-04
7.1000 69.81 35 4.235492e-04
7.2000 69.82 35 4.212775e-04
7.3000 69.84 35 4.192329e-04
7.4000 69.86 35 4.174126e-04
7.5000 69.87 35 4.157885e-04
7.6000 69.88 35 4.143647e-04
7.7000 69.90 35 4.131283e-04
7.8000 69.91 35 4.120526e-04
7.9000 69.91 35 4.111317e-04
8.0000 69.92 35 4.103748e-04
8.1000 69.93 35 4.097324e-04
8.2000 69.93 35 4.092065e-04
8.3000 69.93 35 4.087539e-04
8.4000 69.94 35 4.083791e-04
8.5000 69.94 35 4.080650e-04
8.6000 69.94 35 4.077982e-04
8.7000 69.95 35 4.075654e-04
8.8000 69.95 35 4.073836e-04
8.9000 69.95 35 4.072308e-04
9.0000 69.95 35 4.071066e-04
9.1000 69.95 35 4.070042e-04
9.2000 69.95 35 4.069344e-04
9.3000 69.95 35 4.068794e-04
9.4000 69.95 35 4.068382e-04
9.5000 69.95 35 4.068108e-04
9.6000 69.95 35 4.067944e-04
9.7000 69.95 35 4.067847e-04
9.8000 69.95 35 4.067796e-04
9.9000 69.95 35 4.067781e-04
10.0000 69.95 35 4.067781e-04
10.1000 69.95 35 4.067781e-04
10.2000 69.95 35 4.067781e-04
10.3000 69.95 35 4.067781e-04
10.4000 69.95 35 4.067781e-04
10.5000 69.95 35 4.067781e-04
10.6000 69.95 35 4.067781e-04
10.7000 69.95 35 4.067781e-04
10.8000 69.95 35 4.067781e-04
10.9000 69.95 35 4.067781e-04
11.0000 69.95 35 4.067781e-04
11.1000 69.95 35 4.067781e-04
11.2000 69.95 35 4.067781e-04
11.3000 69.95 35 4.067781e-04
11.4000 69.95 35 4.067781e-04
11.5000 69.95 35 4.067781e-04
11.6000 69.95 35 4.067781e-04
11.7000 69.95 35 4.067781e-04
11.8000 69.95 35 4.067781e-04
11.9000 69.95 35 4.067781e-04
12.0000 69.95 35 4.067781e-04
12.1000 69.95 35 4.067781e-04
12.2000 69.95 35 4.067781e-04
12.3000 69.95 35 4.067781e-04
12.4000 69.95 35 4.067781e-04
12.5000 69.95 35 4.067781e-04
12.6000 69.95 35 4.067781e-04
12.7000 69.95 35 4.067781e-04
12.8000 69.95 35 4.067781e-04
12.9000 69.95 35 4.067781e-04
13.0000 69.95 35 4.067781e-04
13.1000 69.95 35 4.067781e-04
13.2000 69.95 35 4.067781e-04
13.3000 69.95 35 4.067781e-04
13.4000 69.95 35 4.067781e-04
13.5000 69.95 35 4.067781e-04
13.6000 69.95 35 4.067781e-04
13.7000 69.95 35 4.067781e-04
13.8000 69.95 35 4.067781e-04
13.9000 69.95 35 4.067781e-04
14.0000 69.95 35 4.067781e-04
14.1000 69.95 35 4.067781e-04
14.2000 69.95 35 4.067781e-04
14.3000 69.95 35 4.067781e-04
14.4000 69.95 35 4.067781e-04
14.5000 69.95 35 4.067781e-04
14.6000 69.95 35 4.067781e-04
14.7000 69.95 35 4.067781e-04
14.8000 69.95 35 4.067781e-04
14.9000 69.95 35 4.067781e-04
15.0000 69.95 35 4.067781e-04
